subdivisionCode,latLng,boundingBox,geojson,perimeter,neighbours
MK-304,"41.3019,20.853","[41.1605, 41.4433, 20.6826, 21.0179]",,131.84,"MK-303,MK-307,MK-308,MK-310,MK-312,MK-313,MK-502,MK-509"
MK-307,"41.4999,20.9328","[41.324, 41.6757, 20.6882, 21.1365]",,177.93,"MK-303,MK-304,MK-308,MK-311,MK-312,MK-502,MK-505,MK-604,MK-607"
MK-308,"41.6526,21.2236","[41.4351, 41.8701, 21.0109, 21.3973]",,167.95,"MK-109,MK-304,MK-307,MK-311,MK-503,MK-505,MK-508,MK-602,MK-604,MK-605,MK-812,MK-813"
MK-310,"41.0813,20.7845","[40.8982, 41.2635, 20.6748, 21.0392]",,132.72,"MK-304,MK-312,MK-502,MK-509"
MK-311,"41.4536,21.1062","[41.4166, 41.4908, 21.0309, 21.1886]",,40.83,"MK-307,MK-308,MK-505"
MK-312,"41.2552,20.7032","[41.0801, 41.4303, 20.4911, 20.7668]",,153.44,"MK-301,MK-303,MK-304,MK-307,MK-310,MK-313"
MK-313,"41.4706,20.5866","[41.4099, 41.5322, 20.5162, 20.6826]",,50.16,"MK-303,MK-304,MK-312,MK-607"
MK-401,"41.1924,22.5994","[41.1266, 41.2588, 22.5097, 22.6708]",,51.88,"MK-403,MK-405,MK-406"
MK-402,"41.4815,22.7754","[41.3908, 41.5719, 22.6914, 22.877]",,72.87,"MK-201,MK-403,MK-404,MK-408,MK-410"
MK-403,"41.3374,22.5157","[41.2161, 41.4586, 22.3343, 22.7798]",,136.28,"MK-103,MK-401,MK-402,MK-405,MK-406,MK-407,MK-410"
MK-404,"41.554,22.6876","[41.461, 41.647, 22.5078, 22.7675]",,104.55,"MK-201,MK-402,MK-407,MK-409,MK-410"
MK-405,"41.253,22.3899","[41.1168, 41.3886, 22.2137, 22.6057]",,130.02,"MK-103,MK-104,MK-106,MK-401,MK-403,MK-406,MK-410"
MK-406,"41.2253,22.704","[41.1394, 41.311, 22.5743, 22.7662]",,69.72,"MK-401,MK-403,MK-405"
MK-407,"41.5206,22.4036","[41.43, 41.6111, 22.2665, 22.5223]",,81.22,"MK-103,MK-104,MK-106,MK-211,MK-403,MK-404,MK-409,MK-410"
MK-408,"41.4328,22.8901","[41.3345, 41.531, 22.7907, 22.9796]",,79.41,"MK-201,MK-402,MK-410"
MK-409,"41.6505,22.4785","[41.5146, 41.7873, 22.3088, 22.6616]",,126.2,"MK-106,MK-201,MK-202,MK-205,MK-211,MK-404,MK-407"
MK-410,"41.4079,22.6385","[41.316, 41.4999, 22.4564, 22.8083]",,117.52,"MK-402,MK-403,MK-404,MK-405,MK-407,MK-408"
MK-501,"41.0429,21.2714","[40.8594, 41.2267, 21.0678, 21.5139]",,156.24,"MK-502,MK-505,MK-506,MK-507,MK-508,MK-509"
MK-502,"41.2592,21.1553","[41.1245, 41.3938, 20.9536, 21.2977]",,111.78,"MK-304,MK-307,MK-310,MK-501,MK-503,MK-505,MK-506,MK-509"
MK-503,"41.4818,21.406","[41.3573, 41.6062, 21.2404, 21.6079]",,135.39,"MK-109,MK-308,MK-502,MK-504,MK-505,MK-508"
MK-504,"41.3238,21.3819","[41.2507, 41.3969, 21.3039, 21.4414]",,76.05,"MK-503,MK-505,MK-506,MK-508"
MK-505,"41.3506,21.2618","[41.2267, 41.4743, 21.12, 21.3406]",,102.5,"MK-307,MK-308,MK-311,MK-501,MK-502,MK-503,MK-504,MK-506"
MK-506,"41.1769,21.4079","[41.0812, 41.2724, 21.2894, 21.598]",,112.5,"MK-501,MK-502,MK-504,MK-505,MK-507,MK-508"
MK-507,"41.0188,21.6585","[40.866, 41.1716, 21.4299, 21.9142]",,150.28,"MK-104,MK-501,MK-506,MK-508"
MK-508,"41.2803,21.6326","[41.069, 41.4915, 21.3636, 21.9471]",,271.93,"MK-104,MK-107,MK-109,MK-308,MK-501,MK-503,MK-504,MK-506,MK-507"
MK-509,"41.0328,20.9918","[40.8525, 41.215, 20.8258, 21.2557]",,145.42,"MK-304,MK-310,MK-501,MK-502"
MK-601,"41.9467,20.8523","[41.8839, 42.0095, 20.7547, 20.9849]",,69.32,"MK-602,MK-603,MK-609"
MK-602,"41.8885,21.0101","[41.7921, 41.9842, 20.9441, 21.1914]",,104.88,"MK-308,MK-601,MK-603,MK-604,MK-605,MK-609,MK-811"
MK-603,"41.8773,20.84","[41.8201, 41.9344, 20.728, 20.9485]",,59.06,"MK-601,MK-602,MK-604"
MK-604,"41.7595,20.915","[41.6416, 41.8774, 20.5574, 21.0881]",,157.15,"MK-307,MK-308,MK-602,MK-603,MK-605,MK-607"
MK-605,"41.9263,21.1176","[41.8298, 42.0235, 21.0083, 21.2431]",,106.29,"MK-308,MK-602,MK-604,MK-606,MK-609,MK-811,MK-812"
MK-606,"42.1006,21.1491","[41.9943, 42.2068, 21.0279, 21.2169]",,100.68,"MK-605,MK-608,MK-609,MK-811"
MK-607,"41.6441,20.6591","[41.4901, 41.7986, 20.5142, 20.9012]",,145.72,"MK-303,MK-307,MK-313,MK-604"
MK-608,"42.0963,21.05","[42.0262, 42.1665, 20.9279, 21.1374]",,64.02,"MK-606,MK-609"
MK-609,"42.0455,20.8835","[41.9625, 42.1286, 20.7481, 21.0538]",,99.03,"MK-601,MK-602,MK-605,MK-606,MK-608"
MK-701,"42.0962,22.1687","[42.0044, 42.1876, 21.9288, 22.3877]",,141.62,"MK-108,MK-206,MK-209,MK-702,MK-703,MK-705,MK-706"
MK-702,"42.2441,22.3335","[42.114, 42.3739, 22.1326, 22.5182]",,123.91,"MK-206,MK-207,MK-701,MK-705"
MK-703,"42.1143,21.794","[41.9605, 42.2683, 21.6102, 21.9933]",,165.66,"MK-108,MK-701,MK-704,MK-706,MK-802,MK-807,MK-810"
MK-704,"42.1658,21.5843","[42.0515, 42.2801, 21.4322, 21.701]",,102.54,"MK-703,MK-802,MK-803,MK-804,MK-807,MK-816,MK-817"
MK-705,"42.2127,22.1321","[42.1103, 42.315, 22.0338, 22.2364]",,81.66,"MK-701,MK-702,MK-706"
MK-706,"42.2319,21.9082","[42.1193, 42.3446, 21.7679, 22.0694]",,119.29,"MK-701,MK-703,MK-705"
MK-801,"41.9678,21.509","[41.9411, 41.9947, 21.4413, 21.5624]",,28.82,"MK-804,MK-807,MK-809,MK-812,MK-813,MK-814"
MK-802,"42.0421,21.5874","[42.0025, 42.0817, 21.5449, 21.6453]",,40.52,"MK-703,MK-704,MK-804,MK-807"
MK-803,"42.087,21.4606","[42.0163, 42.1578, 21.3889, 21.5123]",,56.46,"MK-704,MK-804,MK-808,MK-815,MK-816,MK-817"
MK-804,"42.0283,21.5037","[41.9305, 42.1262, 21.4467, 21.5901]",,70.8,"MK-704,MK-801,MK-802,MK-803,MK-807,MK-809,MK-810,MK-812,MK-813,MK-814,MK-815,MK-816"
MK-805,"42.0548,21.3238","[41.997, 42.1125, 21.2458, 21.3772]",,47.64,"MK-808,MK-811,MK-816"
MK-806,"41.8322,21.5582","[41.7493, 41.9147, 21.4682, 21.6533]",,65.08,"MK-101,MK-109,MK-809,MK-810,MK-813"
MK-807,"41.9977,21.6153","[41.9369, 42.0583, 21.5294, 21.7016]",,64.23,"MK-703,MK-704,MK-801,MK-802,MK-804,MK-809,MK-810,MK-813"
MK-808,"42.0043,21.3942","[41.9636, 42.0452, 21.3578, 21.4405]",,37.57,"MK-803,MK-805,MK-809,MK-811,MK-812,MK-814,MK-815,MK-816,MK-817"
MK-809,"41.9499,21.4849","[41.9113, 41.9886, 21.4259, 21.5534]",,37.47,"MK-801,MK-804,MK-806,MK-807,MK-808,MK-812,MK-813,MK-814"
MK-810,"41.9099,21.6941","[41.8186, 42.0011, 21.5699, 21.8214]",,100.42,"MK-101,MK-108,MK-703,MK-804,MK-806,MK-807,MK-813"
MK-811,"42.0024,21.2517","[41.8942, 42.1108, 21.1499, 21.3686]",,92.56,"MK-602,MK-605,MK-606,MK-805,MK-808,MK-812,MK-813,MK-816"
