alphaCode,subdivisionCode,name,localOtherName,type,parentCode,flag,latLng,customAttributes,delete,notes,dateIssued
GB,GB-MAN,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-MDB,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-MDW,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-MEA,,,,GB-NIR,,,,,Updating subdivision parent code,2021-11-25
GB,GB-MIK,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-MLN,,,,GB-SCT,,,,,Updating subdivision parent code,2021-11-25
GB,GB-MON,,,,GB-WLS,,,,,Updating subdivision parent code,2021-11-25
GB,GB-MRT,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-MRY,,,,GB-SCT,,,,,Updating subdivision parent code,2021-11-25
GB,GB-MTY,,,,GB-WLS,,,,,Updating subdivision parent code,2021-11-25
GB,GB-MUL,,,,GB-NIR,,,,,Updating subdivision parent code,2021-11-25
GB,GB-NAY,,,,GB-SCT,,,,,Updating subdivision parent code,2021-11-25
GB,GB-NBL,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-NEL,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-NET,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-NFK,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-NGM,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-NLK,,,,GB-SCT,,,,,Updating subdivision parent code,2021-11-25
GB,GB-NLN,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-NMD,,,,GB-NIR,,,,,Updating subdivision parent code,2021-11-25
GB,GB-NTL,,,,GB-WLS,,,,,Updating subdivision parent code,2021-11-25
GB,GB-NTT,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-NTY,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-NWM,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-NWP,,,,GB-WLS,,,,,Updating subdivision parent code,2021-11-25
GB,GB-NYK,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-OLD,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-ORK,,,,GB-SCT,,,,,Updating subdivision parent code,2021-11-25
GB,GB-OXF,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-PKN,,,,GB-SCT,,,,,Updating subdivision parent code,2021-11-25
GB,GB-PLY,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-POR,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-POW,,,,GB-WLS,,,,,Updating subdivision parent code,2021-11-25
GB,GB-PTE,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-RCC,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-RCH,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-RCT,,,,GB-WLS,,,,,Updating subdivision parent code,2021-11-25
GB,GB-RDB,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
